MSSubClass,LotFrontage,LotArea,Utilities,OverallQual,OverallCond,YearBuilt,YearRemodAdd,MasVnrArea,ExterQual,ExterCond,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,HeatingQC,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscVal,MSZoning_0,MSZoning_2,MSZoning_3,MSZoning_5,MSZoning_6,Street_0,Street_1,Alley_0,Alley_1,Alley_2,LotShape_0,LotShape_1,LotShape_2,LotShape_3,LandContour_0,LandContour_1,LandContour_2,LandContour_3,LotConfig_0,LotConfig_1,LotConfig_2,LotConfig_3,LotConfig_4,LandSlope_0,LandSlope_1,LandSlope_2,Neighborhood_0,Neighborhood_1,Neighborhood_10,Neighborhood_11,Neighborhood_12,Neighborhood_13,Neighborhood_14,Neighborhood_15,Neighborhood_16,Neighborhood_17,Neighborhood_18,Neighborhood_19,Neighborhood_2,Neighborhood_20,Neighborhood_21,Neighborhood_22,Neighborhood_23,Neighborhood_24,Neighborhood_3,Neighborhood_4,Neighborhood_5,Neighborhood_6,Neighborhood_7,Neighborhood_8,Neighborhood_9,Condition1_0,Condition1_1,Condition1_2,Condition1_3,Condition1_4,Condition1_5,Condition1_6,Condition1_7,Condition1_8,Condition2_0,Condition2_2,Condition2_3,Condition2_4,Condition2_5,Condition2_6,Condition2_7,Condition2_8,BldgType_0,BldgType_1,BldgType_2,BldgType_3,BldgType_4,HouseStyle_0,HouseStyle_1,HouseStyle_2,HouseStyle_3,HouseStyle_4,HouseStyle_5,HouseStyle_6,HouseStyle_7,RoofStyle_0,RoofStyle_1,RoofStyle_2,RoofStyle_3,RoofStyle_4,RoofStyle_5,RoofMatl_0,RoofMatl_1,RoofMatl_2,RoofMatl_3,RoofMatl_4,RoofMatl_5,RoofMatl_6,RoofMatl_7,Exterior1st_0,Exterior1st_1,Exterior1st_10,Exterior1st_11,Exterior1st_12,Exterior1st_13,Exterior1st_14,Exterior1st_15,Exterior1st_16,Exterior1st_2,Exterior1st_3,Exterior1st_4,Exterior1st_6,Exterior1st_8,Exterior1st_9,Exterior2nd_0,Exterior2nd_1,Exterior2nd_10,Exterior2nd_11,Exterior2nd_12,Exterior2nd_13,Exterior2nd_14,Exterior2nd_15,Exterior2nd_16,Exterior2nd_2,Exterior2nd_3,Exterior2nd_4,Exterior2nd_6,Exterior2nd_7,Exterior2nd_8,Exterior2nd_9,MasVnrType_0,MasVnrType_1,MasVnrType_3,MasVnrType_4,Foundation_0,Foundation_1,Foundation_2,Foundation_3,Foundation_4,Foundation_5,Heating_0,Heating_1,Heating_2,Heating_3,Heating_4,Heating_5,CentralAir_0,CentralAir_1,Electrical_0,Electrical_1,Electrical_2,Electrical_3,Electrical_4,MiscFeature_0,MiscFeature_1,MiscFeature_2,MiscFeature_3,MiscFeature_4,SaleType_0,SaleType_1,SaleType_2,SaleType_3,SaleType_4,SaleType_5,SaleType_6,SaleType_8,SaleType_9,SaleCondition_0,SaleCondition_1,SaleCondition_2,SaleCondition_3,SaleCondition_4,SaleCondition_5,YrSold_0,YrSold_1,YrSold_2,YrSold_3,YrSold_4,MoSold_0,MoSold_1,MoSold_2,MoSold_3
20,0.5249915315182594,0.11076257401933393,3,5,6,-0.34007744370479875,-1.156379772566711,-0.5707501337786359,2,2,3,3,1,3,0.053428464862156966,2,0.6042928034046681,-0.6729225944154361,-0.4000169401417593,2,-0.6899289437659982,-0.7951632272572445,-0.12024172373467247,-1.1792561098788563,-0.8199643654586394,-0.2410610357992968,-1.0260408358133,-0.7616206719986545,-1.0624645274102331,-0.21145358120204893,2,-0.934129784145668,7,-0.9512264882332891,0,5,0.20342172442908613,1,-1.02685765142659,1.202535578749403,3,3,2,0.3651794915343531,-0.704483250333654,-0.3593249004055313,-0.11633928614822255,1.8827091798433468,-0.06869174753820707,1,3,-0.08768781151769862,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
20,0.5697368692892261,0.3758498455654221,3,6,6,-0.4394396746051405,-1.3017403340361813,0.02702657374383361,2,2,3,3,1,5,1.0513627056519812,1,-0.2886528311122454,-0.3650321815834059,0.6192393486341805,2,0.4305110528173652,-0.7951632272572445,-0.12024172373467247,-0.3549658460478854,-0.8199643654586394,-0.2410610357992968,-1.0260408358133,1.2275853765130371,0.1637791168735145,-0.21145358120204893,3,-0.3186832657103453,7,-0.9512264882332891,0,5,0.1968071204721493,1,-1.02685765142659,-0.7531882552892905,3,3,2,2.3844001939423194,-0.16095028636299968,-0.3593249004055313,-0.11633928614822255,-0.2702083542015609,-0.06869174753820707,1,0,25.116308789704462,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
60,0.2565195048924593,0.3320528180925901,3,5,5,0.8522693270993021,0.6364004855567529,-0.5707501337786359,2,2,4,3,1,6,0.7618521127195487,1,-0.2886528311122454,-0.9740213069644068,-0.2951270312296939,3,-0.6071250641108766,0.8112388630504671,-0.12024172373467247,0.2161359533731108,-0.8199643654586394,-0.2410610357992968,0.7897405221108432,1.2275853765130371,0.1637791168735145,-0.21145358120204893,2,-0.3186832657103453,7,0.6004949339126351,3,5,0.2827969719123286,3,0.31172464418307205,0.04220182075515426,3,3,2,0.9398193752235766,-0.19114656213914716,-0.3593249004055313,-0.11633928614822255,-0.2702083542015609,-0.06869174753820707,1,3,-0.08768781151769862,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
60,0.4355008559763261,-0.05400244466564488,3,6,6,0.8853900707327494,0.6364004855567529,-0.460050743496697,2,2,3,3,1,6,0.3473255819299293,1,-0.2886528311122454,-0.5506719893203652,-0.2996874620519577,4,-0.6123003065893218,0.7585323750660486,-0.12024172373467247,0.16854413675469446,-0.8199643654586394,-0.2410610357992968,0.7897405221108432,1.2275853765130371,0.1637791168735145,-0.21145358120204893,3,0.29676325272497744,7,0.6004949339126351,4,5,0.28500183989797423,3,0.31172464418307205,-0.013943361083277137,3,3,2,2.1210235805847586,-0.16095028636299968,-0.3593249004055313,-0.11633928614822255,-0.2702083542015609,-0.06869174753820707,1,0,-0.08768781151769862,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
120,-1.1305859660075075,-0.5524066039846227,3,8,5,0.6866656089320661,0.34567936261781274,-0.5707501337786359,3,2,4,3,1,5,-0.3961902590101814,1,-0.2886528311122454,1.0182107760663768,0.5075087934887196,4,0.30371761209546033,-0.7951632272572445,-0.12024172373467247,-0.4482458066199815,-0.8199643654586394,-0.2410610357992968,0.7897405221108432,-0.7616206719986545,-1.0624645274102331,-0.21145358120204893,3,-0.934129784145668,7,-0.9512264882332891,0,5,0.2717726319841005,2,0.31172464418307205,0.15449218443201704,3,3,2,-0.7521758378613592,0.533564056488392,-0.3593249004055313,-0.11633928614822255,2.3132926866523285,-0.06869174753820707,1,0,-0.08768781151769862,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
60,0.301264842663426,-0.051797559987378734,3,6,5,0.7197863525655132,0.4425864035974594,-0.5707501337786359,2,2,4,3,1,1,-0.9730181828073764,1,-0.2886528311122454,0.44318015210067335,-0.6713625740664503,3,-1.0340825685825972,1.2489318719645512,-0.12024172373467247,0.2656314426562638,-0.8199643654586394,-0.2410610357992968,0.7897405221108432,1.2275853765130371,0.1637791168735145,-0.21145358120204893,2,0.29676325272497744,7,0.6004949339126351,3,5,0.2739774999697461,3,0.31172464418307205,-0.15430631567935565,3,3,2,0.5008583529609754,0.5637603322645395,-0.3593249004055313,-0.11633928614822255,-0.2702083542015609,-0.06869174753820707,1,0,-0.08768781151769862,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
20,-0.3699152239010741,-0.2542460622645425,3,6,7,0.6866656089320661,1.072482169965163,-0.5707501337786359,2,3,4,3,1,5,1.0776818504640204,1,-0.2886528311122454,-0.7566868979065031,0.2521246674419516,4,0.06306883684776332,-0.7951632272572445,-0.12024172373467247,-0.6252873644404903,1.1078101491462131,-0.2410610357992968,0.7897405221108432,-0.7616206719986545,0.1637791168735145,-0.21145358120204893,2,-0.3186832657103453,7,-0.9512264882332891,0,5,0.2717726319841005,3,0.31172464418307205,-0.24788161874340794,3,3,2,3.1027000485538485,-0.3874223546841056,-0.3593249004055313,-0.11633928614822255,-0.2702083542015609,-0.06869174753820707,1,4,0.9204720525311878,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
60,-0.2356792105881741,-0.2119523652541647,3,6,5,0.8853900707327494,0.6364004855567529,-0.5707501337786359,2,2,4,3,1,1,-0.9730181828073764,1,-0.2886528311122454,0.5020415545538556,-0.6120769733770219,3,-0.9668044163628108,0.7539492021978383,-0.12024172373467247,-0.09606636364370046,-0.8199643654586394,-0.2410610357992968,0.7897405221108432,1.2275853765130371,0.1637791168735145,-0.21145358120204893,2,0.29676325272497744,7,0.6004949339126351,4,5,0.28500183989797423,3,0.31172464418307205,-0.3742082778798786,3,3,2,-0.7521758378613592,0.42787709127187584,-0.3593249004055313,-0.11633928614822255,-0.2702083542015609,-0.06869174753820707,1,0,-0.08768781151769862,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
20,0.7487182203730928,-0.03415848256124962,3,7,5,0.6204241216651715,0.24877232163816604,-0.5707501337786359,2,2,4,3,4,6,0.42408975429837736,1,-0.2886528311122454,0.21679014266535707,0.5531131017113566,3,0.4615625076880358,-0.7951632272572445,-0.12024172373467247,-0.33212177407104554,1.1078101491462131,-0.2410610357992968,-1.0260408358133,1.2275853765130371,-1.0624645274102331,-0.21145358120204893,3,-0.934129784145668,7,0.6004949339126351,1,5,0.2673628960128093,1,0.31172464418307205,0.15449218443201704,3,3,2,0.7801971853099035,-0.704483250333654,-0.3593249004055313,-0.11633928614822255,-0.2702083542015609,-0.06869174753820707,1,0,-0.08768781151769862,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0
20,0.07753815380859265,-0.21215280931582525,3,4,5,-0.04199075100377351,-0.720298088158301,-0.5707501337786359,2,2,3,3,1,5,0.7903645195992579,3,0.19502605425108271,-1.2841756198907899,-0.4000169401417593,2,-0.7261556411151139,-0.7951632272572445,-0.12024172373467247,-1.2059075271851698,1.1078101491462131,-0.2410610357992968,-1.0260408358133,-0.7616206719986545,-1.0624645274102331,-0.21145358120204893,2,-1.5495763025809908,7,-0.9512264882332891,0,5,0.2232655362998968,3,0.31172464418307205,0.2433887223428668,3,3,2,1.1632904411027192,-0.704483250333654,-0.3593249004055313,-0.11633928614822255,-0.2702083542015609,-0.06869174753820707,1,3,-0.08768781151769862,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0
